iter	Passed	Remaining
0	1	120
1	2	122
2	3	112
3	4	100
4	5	95
5	5	91
6	6	87
7	7	85
8	8	81
9	8	80
10	9	78
11	10	76
12	11	74
13	11	72
14	12	71
15	13	70
16	14	70
17	15	69
18	15	68
19	16	67
20	17	66
21	18	64
22	18	63
23	19	62
24	20	61
25	21	60
26	22	59
27	23	59
28	23	58
29	24	57
30	25	56
31	26	55
32	26	54
33	27	53
34	28	52
35	29	51
36	29	51
37	30	50
38	31	49
39	32	48
40	33	48
41	33	46
42	34	45
43	35	44
44	36	44
45	36	43
46	37	42
47	38	41
48	39	40
49	39	39
50	40	38
51	41	37
52	41	37
53	42	36
54	43	35
55	44	34
56	44	33
57	45	33
58	46	32
59	47	31
60	48	31
61	49	30
62	50	29
63	50	28
64	51	27
65	52	27
66	53	26
67	54	25
68	54	24
69	55	23
70	56	23
71	57	22
72	58	21
73	59	20
74	59	19
75	60	19
76	61	18
77	62	17
78	63	16
79	63	15
80	64	15
81	65	14
82	66	13
83	66	12
84	67	11
85	68	11
86	69	10
87	69	9
88	70	8
89	71	7
90	72	7
91	73	6
92	74	5
93	75	4
94	76	4
95	76	3
96	77	2
97	78	1
98	79	0
99	80	0
